season_start_year,season_end_year,species,artist,stamp_link
1980,1981,Mallard,Richard W Plasschaert,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1980-1981.php
1981,1982,Ruddy duck,John S Wilson,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1981-1982.php
1982,1983,Canvasback,David A Maass,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1982-1983.php
1983,1984,Northern pintail,Phil V Scholer,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1983-1984.php
1984,1985,American wigeon,William C Morris,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1984-1985.php
1985,1986,Cinnamon teal,Gerald Mobley,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1985-1986.php
1986,1987,Fulvous whistling duck,Burton E Moore Jr,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1986-1987.php
1987,1988,Redhead,Arthur G Anderson,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1987-1988.php
1988,1989,Snow goose,Daniel Smith,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1988-1989.php
1989,1990,Lesser scaup,Neal R Anderson,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1989-1990.php
1990,1991,Black-bellied whistling duck,James Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1990-1991.php
1991,1992,King eider,Nancy Howe,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1991-1992.php
1992,1993,Spectacled eider,Joseph Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1992-1993.php
1993,1994,Canvasback,Bruce Miller,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1993-1994.php
1994,1995,Red-breasted merganser,Neal R Anderson,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1994-1995.php
1995,1996,Mallard,James Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1995-1996.php
1996,1997,Surf scoter,Wilhelm Goebel,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1996-1997.php
